inst_instid,indic_indicid,area_areaid,value,value_normalized,date_from,date_until,date_published,date_updated,is_forecast
OECD,YPGA,BEL,335692257757.07,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,MPEN,SVN,0.450585248360067,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,SSPG,USA,4293480998041.72,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PCOREH,ITA,1.17028685636706,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YRGA,HRV,37001970936.6094,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,POPS1574,POL,28933435.0347078,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDP,CRI,52098723549787.6,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGA,SVN,31565636308.1053,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGT,PRT,127317816219.351,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TYBA,FRA,85097614604.6501,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GFAR,JPN,123.530164728163,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PCOREH_YTYPCT,NLD,2.31513334764443,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,SRATIO,JPN,2.39235154457021,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PGDP_ANNPCT,COL,4.72781149933589,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CQ_FBGSV,JPN,-0.0011895026946572,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNINTQ,POL,1.82394795374699,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,SSRGA,NZL,2762785322.46908,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
